,tree_id,lat,lon,month_planted,year_planted,season
30964,62417,37.77540419,-122.472536,11,1985,fall
30966,61899,37.78754577,-122.4554036,3,1985,spring
30969,159446,37.71455539,-122.4464819,10,2017,fall
30972,116923,37.75410449,-122.3891013,11,2016,fall
30978,259863,37.71523702,-122.4005828,3,2019,spring
30981,66501,37.78620777,-122.4452458,2,1991,winter
30982,7095,37.77251883,-122.4502396,12,1994,winter
30988,160441,37.7191482,-122.4363868,12,2021,winter
30995,40179,37.78612541,-122.4365767,4,1999,spring
30996,57049,37.77877215,-122.5072958,8,1974,summer
30999,172637,37.79035518,-122.4217716,5,2013,spring
31004,231239,37.76119149,-122.4101654,4,2020,spring
31007,7091,37.77262039,-122.4494557,7,2014,summer
31009,3529,37.74140956,-122.3792404,3,2006,spring
31015,18019,37.7870016,-122.4405743,2,2009,winter
31026,11777,37.72299924,-122.472261,3,2006,spring
31032,64721,37.78688855,-122.4188597,3,1990,spring
31033,209330,37.7588495,-122.4738101,5,1994,spring
31034,63908,37.80440194,-122.41174,8,1987,summer
31036,89517,37.77754785,-122.4998283,3,2008,spring
31041,22695,37.78046452,-122.4318445,3,1992,spring
31049,49823,37.76250646,-122.3988669,6,2003,summer
31051,61312,37.75116117,-122.4023418,2,1984,winter
31053,31712,37.7647739,-122.4509879,6,1995,summer
31058,43443,37.72223653,-122.4439345,7,2000,summer
31062,11582,37.76055019,-122.5050036,3,2017,spring
31063,28630,37.72368051,-122.4558827,4,2003,spring
31064,109702,37.76131443,-122.4243127,2,2015,winter
31069,25199,37.7746534,-122.4209298,1,1995,winter
31072,104488,37.763099,-122.3985216,3,2014,spring
31073,91159,37.74361099,-122.4520373,1,2009,winter
31078,52457,37.77834372,-122.4704538,12,2005,winter
31080,44464,37.72591435,-122.4206208,3,2001,spring
31093,91467,37.79980331,-122.4061193,4,2009,spring
31095,68454,37.79374081,-122.4250758,9,1993,fall
31103,20151,37.77893781,-122.4335857,10,2016,fall
31104,7721,37.77586461,-122.4210083,1,1995,winter
31108,29327,37.73998579,-122.4638802,10,2005,fall
31109,110155,37.79684111,-122.4143346,3,2015,spring
31115,3715,37.74474101,-122.3848711,6,1996,summer
31117,34164,37.79390171,-122.4384528,7,1997,summer
31119,49895,37.76684675,-122.4157716,7,2003,summer
31126,10601,37.75339401,-122.4118768,6,1992,summer
31127,24898,37.72308976,-122.4016177,3,1996,spring
31130,29248,37.73987662,-122.4071287,4,2006,spring
31134,46318,37.79555723,-122.4396181,4,2002,spring
31138,66956,37.79167292,-122.4328159,1,1992,winter
31139,5851,37.78252579,-122.4230771,5,1997,spring
31143,86130,37.75674894,-122.4819479,1,2007,winter
31154,18610,37.71419593,-122.4681429,9,2016,fall
31167,27000,37.73040625,-122.4117505,12,2007,winter
31170,31987,37.78605503,-122.4624094,6,1995,summer
31172,4970,37.74492993,-122.4397785,1,2018,winter
31182,3218,37.78596532,-122.4576737,3,1994,spring
31183,54984,37.77646754,-122.4748922,9,1972,fall
31185,10634,37.77602278,-122.4302147,8,1990,summer
31186,103735,37.76336645,-122.4146266,5,2007,spring
31190,24629,37.77517512,-122.437701,12,2006,winter
31202,28921,37.77627381,-122.4073302,2,2006,winter
31203,16568,37.77987245,-122.4463735,1,2000,winter
31213,58803,37.79798029,-122.4365413,1,2013,winter
31217,84029,37.75538215,-122.501352,6,2008,summer
31218,14204,37.77054763,-122.425253,2,2010,winter
31221,60413,37.73140227,-122.3878471,10,1982,fall
31224,90761,37.77355139,-122.5020635,4,2013,spring
31233,31879,37.79968192,-122.436607,6,1995,summer
31234,66330,37.76466506,-122.4901827,12,1990,winter
31237,152548,37.75462884,-122.4094234,7,2021,summer
31239,203654,37.73315228,-122.4386823,8,2017,summer
31250,108948,37.71854916,-122.4327619,1,2015,winter
31255,86451,37.74343427,-122.4842389,12,2006,winter
31259,97906,37.76329058,-122.4458625,12,2011,winter
31266,99007,37.80331684,-122.4428998,1,2015,winter
31267,1980,37.73295609,-122.3807507,3,2006,spring
31273,201825,37.72845473,-122.3698812,7,2017,summer
31283,90572,37.7747334,-122.4795189,2,2008,winter
31284,68701,37.78498415,-122.4719959,11,1993,fall
31292,81737,37.77764774,-122.5007627,12,2007,winter
31293,84197,37.71061481,-122.415467,6,2008,summer
31297,92786,37.77462624,-122.4669649,10,2009,fall
31309,13138,37.80037164,-122.4305593,6,1994,summer
31315,241305,37.76210586,-122.4170864,3,2007,spring
31322,86516,37.76299017,-122.4857538,12,2006,winter
31323,25745,37.80207103,-122.4004557,8,1996,summer
31326,105763,37.74327484,-122.4317135,3,2016,spring
31338,3867,37.73600648,-122.3871452,12,2015,winter
31339,5648,37.74851855,-122.4246984,3,1997,spring
31340,27841,37.79748662,-122.3958332,7,1994,summer
31342,85641,37.72817179,-122.3825097,3,2007,spring
31345,83490,37.74845554,-122.5071655,1,2008,winter
31348,91757,37.76031057,-122.4127109,3,2007,spring
31349,13015,37.80335191,-122.4084493,4,2016,spring
31350,251751,37.71048518,-122.4309213,10,2017,fall
31358,5158,37.77174952,-122.4372561,3,1990,spring
31368,35874,37.73970164,-122.4033382,4,1998,spring
31374,25628,37.79637551,-122.3954572,12,2000,winter
31379,86009,37.75519276,-122.4861255,1,2007,winter
31388,109394,37.74748419,-122.4066704,2,2015,winter
31393,31434,37.75530799,-122.4393453,5,1995,spring
31395,23289,37.78379351,-122.4211098,5,1992,spring
31397,15912,37.7101393,-122.4490293,2,1995,winter
31398,60388,37.73248169,-122.3880855,10,1982,fall
31400,30877,37.75245317,-122.4241059,3,1995,spring
31402,9424,37.78069501,-122.422451,2,1994,winter
31403,4845,37.73955003,-122.4193959,10,1992,fall
31429,1576,37.77910823,-122.4588263,3,1999,spring
31432,26367,37.71495201,-122.451315,12,1997,winter
31438,91861,37.76434975,-122.4604367,12,2008,winter
31439,52645,37.75780964,-122.401032,3,2006,spring
31444,108378,37.72342492,-122.4304502,12,2014,winter
31449,22070,37.75213556,-122.3875394,9,2015,fall
31456,44209,37.73004535,-122.4268512,12,2000,winter
31459,35361,37.7576061,-122.4017843,2,1998,winter
31461,261998,37.76159237,-122.4110119,4,2020,spring
31464,256670,37.79725217,-122.4204155,11,2018,fall
31465,147647,37.77657635,-122.4748883,5,2021,spring
31469,137118,37.80295348,-122.4425126,1,2015,winter
31476,46787,37.72874803,-122.4327165,4,2002,spring
31482,97688,37.72372592,-122.4570868,4,2003,spring
31485,54185,37.73745022,-122.3885432,6,1972,summer
31487,31226,37.73974288,-122.469912,4,1995,spring
31489,18376,37.76036211,-122.4071915,2,2006,winter
31500,93287,37.7504334,-122.4272649,12,2008,winter
31501,14064,37.77713341,-122.4169372,4,2017,spring
31505,91462,37.80137184,-122.4164921,4,2009,spring
31515,86404,37.75503751,-122.4841219,12,2006,winter
